customer_id,first_name,last_name,phone_number,email_address,join_date
130,Diane,Daniels,718-555-4505,hbrown@example.com,2023-05-12
131,Cindy,Jimenez,718-555-8633,nwolf@example.com,2025-05-01
132,Andrea,Pennington,718-555-7381,fgilmore@example.org,2023-02-10
133,Anthony,Mccoy,718-555-7232,jennifercollins@example.org,2025-09-03
134,Andrea,Davis,718-555-7389,murraydavid@example.org,2025-05-08
135,Tyrone,Moran,718-555-4613,robert77@example.org,2025-09-26
136,Stephen,Thomas,718-555-1475,sandraromero@example.org,2025-03-07
137,Michelle,Hill,718-555-7624,ymorgan@example.net,2023-12-05
138,Joseph,Smith,,mary97@example.org,2025-12-29
139,Sean,Washington,718-555-1444,andrea86@example.com,2023-06-21
140,Sarah,Kane,718-555-8564,ashleyhall@example.com,2024-01-08
141,Bradley,Garner,718-555-4467,qhughes@example.net,2025-07-20
142,Tina,Simpson,718-555-7211,martineztammy@example.com,2024-07-23
143,Molly,Sawyer,718-555-5133,dgarcia@example.org,2023-06-17
144,Jennifer,Ortiz,718-555-1853,charlesharrington@example.com,2024-12-17
145,Matthew,Schwartz,718-555-1659,christianmelissa@example.net,2023-03-05
146,Norman,Stewart,718-555-1333,cbrennan@example.net,2023-11-09
147,Casey,Welch,718-555-2874,wendy16@example.org,2024-03-22
148,Kathleen,Padilla,718-555-7043,wallaceheather@example.org,2023-12-10
149,Brandon,Flynn,,michael62@example.org,2023-08-23
150,Amanda,Knight,718-555-6096,georgemiller@example.com,2023-08-10
151,Christine,Allen,,jesselittle@example.com,2025-02-07
152,Jonathan,Smith,718-555-2245,rsantana@example.net,2024-05-12
153,Eric,Alexander,718-555-2983,vanessa46@example.net,2023-03-26
154,John,Bruce,718-555-7071,yvonnecastaneda@example.org,2023-05-22
155,John,Armstrong,718-555-7882,victoria40@example.net,2025-09-30
156,Randy,Smith,,lozanojulie@example.com,2025-07-30
157,Kimberly,Hall,718-555-9548,jeffery39@example.com,2024-07-07
158,Erica,Le,,courtneyberger@example.net,2025-09-17
159,Benjamin,Kramer,718-555-5397,rileyjessica@example.org,2024-10-22
160,Renee,Murphy,718-555-2419,ithompson@example.net,2024-07-25
161,Nancy,Diaz,718-555-8613,maria47@example.com,2025-02-15
162,Julie,Morgan,718-555-6325,mcdonaldcharles@example.org,2024-01-08
163,Michelle,Ramsey,718-555-5232,zcoffey@example.net,2024-11-28
164,Michael,Gibbs,718-555-5526,bakerdavid@example.com,2023-01-21
165,Emily,Chambers,718-555-4954,xcarson@example.org,2025-04-12
166,Emily,Ruiz,718-555-8800,rose31@example.net,2025-10-02
167,Madison,Blankenship,718-555-5820,debra12@example.org,2024-03-29
168,Sophia,Torres,718-555-7046,pwilson@example.net,2025-08-27
169,Derek,Chavez,718-555-6419,umatthews@example.org,2024-12-21
170,Nicole,Pena,718-555-5118,rgilbert@example.org,2024-04-17
171,Hannah,Robinson,718-555-2958,xsampson@example.org,2024-01-15
172,Tina,Richardson,718-555-5530,bruce43@example.org,2025-12-10
173,Stacy,Holloway,,batesdarlene@example.net,2024-02-02
174,Tasha,Williams,718-555-5952,john29@example.org,2023-01-29
175,Casey,Hubbard,718-555-1745,brendali@example.org,2023-04-22
176,Mark,Hernandez,718-555-3068,ramireztracey@example.org,2025-10-02
177,Amber,Lindsey,718-555-5658,guerreroanthony@example.org,2025-08-19
178,Michael,Kramer,718-555-1841,alfred40@example.org,2024-06-01
179,Judy,Fox,718-555-2070,alvarezkimberly@example.net,2025-03-31
180,Brittney,Hayes,718-555-1878,soniawilliams@example.net,2023-11-07
181,Adrienne,Ellis,718-555-5978,browntimothy@example.com,2023-06-24
182,Ronald,Rodriguez,718-555-7818,fjones@example.com,2024-04-07
183,Charlene,Jones,718-555-8253,claudia98@example.net,2024-08-31
184,Mark,Vang,,shawn96@example.org,2024-09-17
185,Laura,Wilson,718-555-2625,russellbeasley@example.com,2024-03-01
186,Matthew,Chavez,718-555-2330,ublair@example.com,2023-11-18
187,Larry,Scott,718-555-3564,gloriawells@example.org,2023-01-06
188,Marie,Davis,718-555-8699,garnernathan@example.org,2024-08-19
189,Angela,Willis,718-555-5632,elizabeth65@example.net,2025-07-18
190,Shelley,Henderson,718-555-5334,schmittcaroline@example.com,2024-02-10
191,Dale,Romero,718-555-3441,dianewalker@example.org,2024-06-28
192,Michael,Hawkins,718-555-3718,farmeraudrey@example.com,2024-09-21
193,Megan,Villegas,718-555-5728,lynchdiane@example.net,2025-06-18
194,Joseph,White,718-555-7594,sandra50@example.org,2024-07-11
195,Molly,Knight,718-555-2317,vjones@example.net,2023-03-23
196,Teresa,Davis,718-555-5102,nicholaschavez@example.org,2023-02-22
197,Mitchell,Griffith,,wareeric@example.net,2023-02-12
198,Brandon,Miller,718-555-5415,fstanley@example.net,2023-03-24
199,Scott,Nelson,718-555-9502,reeddaniel@example.net,2025-06-24
200,Erika,Tucker,718-555-8141,brandon69@example.org,2025-10-04
