employee_id,store_id,department_id,first_name,last_name,email_address,phone_number,hire_date,employment_status,job_title,hourly_rate,annual_salary
65,5,6,Danielle,Sawyer,danielle.sawyer.65@abcfoodmart.com,718-555-1356,2025-08-20,active,Department Manager,,68138.31
66,5,2,Angela,Garcia,angela.garcia.66@abcfoodmart.com,718-555-4570,2025-09-13,active,Department Manager,,52060.31
67,5,3,Meghan,Rosales,meghan.rosales.67@abcfoodmart.com,718-555-2044,2025-09-08,leave,Department Manager,,60473.95
68,5,7,Justin,Hines,justin.hines.68@abcfoodmart.com,718-555-2130,2025-10-28,active,Department Manager,,70691.66
69,5,4,Joshua,Whitehead,joshua.whitehead.69@abcfoodmart.com,718-555-3948,2025-10-07,active,Department Manager,,57741.81
70,5,6,Dylan,Kim,dylan.kim.70@abcfoodmart.com,718-555-7887,2025-08-17,leave,Stock Associate,21.89,
71,5,4,Stacey,Walker,stacey.walker.71@abcfoodmart.com,718-555-7184,2025-08-18,active,Stock Associate,19.24,
72,5,6,Shannon,Bailey,shannon.bailey.72@abcfoodmart.com,718-555-3178,2025-09-22,inactive,Cashier,19.5,
73,5,1,Anthony,Brown,anthony.brown.73@abcfoodmart.com,718-555-9802,2025-08-20,active,Cashier,16.71,
74,5,6,Wayne,Young,wayne.young.74@abcfoodmart.com,718-555-1056,2025-10-05,active,Stock Associate,21.89,
75,5,3,Virginia,Brooks,virginia.brooks.75@abcfoodmart.com,718-555-9920,2025-08-24,active,Cashier,17.85,
